DHL Daily Fantasy Cheet Sheet,,DailyHockeyLineups.com,,,,
,DraftKings,,,,,
,,"Evgeny Kuznetsov, Floor: 0.5","Sean Monahan, Floor: 0.0","Sam Bennett, Floor: 0.0","Adam Henrique, Floor: 1.0",
,,"David Krejci, Floor: 0.5",,"Ryan Spooner, Floor: 0.0","Ryan White, Floor: 0.5",
,High Floor Wingers,,,,,
,"Alex Ovechkin, Floor: 1.5","Phil Kessel, Floor: 3.0","Jake Guentzel, Floor: 4.5","Anders Lee, Floor: 3.0","Sven Andrighetto, Floor: 2.5",
,"David Pastrnak, Floor: 0.0","Taylor Hall, Floor: 1.5","Jordan Eberle, Floor: 2.0","Mikko Rantanen, Floor: 2.5","Gabriel Landeskog, Floor: 2.0",
,"Brad Marchand, Floor: 0.0","Johnny Gaudreau, Floor: 1.5","Bryan Rust, Floor: 1.0","Kris Versteeg, Floor: 2.0","Jonny Brodzinski, Floor: 1.0",
,,"Corey Perry, Floor: 1.0","Tanner Pearson, Floor: 1.0","Michael Cammalleri, Floor: 1.5","Scott Wilson, Floor: 1.0",
,,"James van Riemsdyk, Floor: 1.0","Marcus Johansson, Floor: 1.0","Josh Bailey, Floor: 1.0","Tom Kuhnhackl, Floor: 1.0",
,High Floor Defenceman,,,,,
,,"Kris Letang, Floor: 2.0","Cam Fowler, Floor: 1.5","Nick Leddy, Floor: 2.5","Francois Beauchemin, Floor: 2.0",
,,,"Drew Doughty, Floor: 1.0","Justin Schultz, Floor: 1.5","Adam McQuaid, Floor: 1.5",
,,,"John Carlson, Floor: 1.0","Tyson Barrie, Floor: 1.5","Adam Pelech, Floor: 1.5",
,,,"Torey Krug, Floor: 0.5","Jake Muzzin, Floor: 1.0","Dennis Seidenberg, Floor: 1.5",
,,,,"Morgan Rielly, Floor: 1.0","Rasmus Andersson, Floor: 1.0",
,,,,,,
,Goalies,,,,,
,Top 5 Goalies (PV),,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,FanDuel,,,,,
,,,,,,
,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
,Top 5 Centers (PV),,,,,
,"Evgeni Malkin, Value: 84.9","Nazem Kadri, Value: 69.4","Tyler Bozak, Value: 76.7","Brock Nelson, Value: 97.8","Casey Cizikas, Value: 86.3",
,"Ryan Getzlaf, Value: 77.8","Rickard Rakell, Value: 67.7","Mikael Backlund, Value: 67.7","Matt Duchene, Value: 71.2","Nick Shore, Value: 75.2",
,"Auston Matthews, Value: 73.9","Nicklas Backstrom, Value: 64.0","Anze Kopitar, Value: 65.4","Adam Henrique, Value: 68.9","Lars Eller, Value: 72.7",
